municipio;id;nome;cod_importacao
1100015;110001505;Alta Floresta D'Oeste;05
1100015;110001515;Filadélfia d'Oeste;15
1100015;110001520;Izidolândia;20
1100015;110001525;Nova Gease d'Oeste;25
1100015;110001530;Rolim de Moura do Guaporé;30
1100015;110001535;Santo Antônio d'Oeste;35
1100023;110002305;Ariquemes;05
1100031;110003105;Cabixi;05
1100049;110004905;Cacoal;05
1100049;110004910;Riozinho;10
1100049;110004915;Divinópolis;15
1100056;110005605;Cerejeiras;05
1100064;110006405;Colorado do Oeste;05
1100072;110007205;Corumbiara;05
1100080;110008005;Costa Marques;05
1100080;110008015;Real Forte Príncipe da Beira;15
1100080;110008035;São Domingos do Guaporé;35
1100098;110009805;Espigão D'Oeste;05
1100098;110009810;Boa Vista do Pacarana;10
1100098;110009812;Novo Paraíso;12
1100098;110009815;Flor da Serra;15
1100098;110009818;Nova Esperança;18
1100106;110010605;Guajará-Mirim;05
1100106;110010612;Iata;12
1100106;110010622;Surpresa;22
1100114;110011405;Jaru;05
1100114;110011410;Bom Jesus;10
1100114;110011420;Santa Cruz da Serra;20
1100114;110011425;Tarilândia;25
1100122;110012205;Ji-Paraná;05
1100122;110012220;Nova Colina;20
1100122;110012225;Nova Londrina;25
1100130;110013005;Machadinho D'Oeste;05
1100130;110013015;Oriente Novo;15
1100130;110013020;Quinto BEC;20
1100130;110013025;Tabajara;25
1100148;110014805;Nova Brasilândia D'Oeste;05
1100155;110015505;Ouro Preto do Oeste;05
1100155;110015525;Rondominas;25
1100189;110018905;Pimenta Bueno;05
1100189;110018915;Marco Rondon;15
1100189;110018920;Itaporanga;20
1100205;110020505;Porto Velho;05
1100205;110020510;Abunã;10
1100205;110020515;Calama;15
1100205;110020516;Demarcação;16
1100205;110020517;Extrema;17
1100205;110020518;Fortaleza do Abunã;18
1100205;110020520;Jaci Paraná;20
1100205;110020525;Mutum Paraná;25
1100205;110020530;Nazaré;30
1100205;110020535;Nova Califórnia;35
1100205;110020540;São Carlos;40
1100205;110020545;Vista Alegre do Abunã;45
1100254;110025405;Presidente Médici;05
1100254;110025415;Estrela de Rondônia;15
1100254;110025420;Novo Riachuelo;20
1100254;110025425;Vila Bandeira Branca;25
1100254;110025430;Vila Camargo;30
1100262;110026205;Rio Crespo;05
1100288;110028805;Rolim de Moura;05
1100296;110029605;Santa Luzia D'Oeste;05
1100304;110030405;Vilhena;05
1100320;110032005;São Miguel do Guaporé;05
1100320;110032020;Santana do Guaporé;20
1100338;110033805;Nova Mamoré;05
1100338;110033810;Araras;10
1100338;110033812;Jacynópolis;12
1100338;110033815;Nova Dimensão;15
1100338;110033820;Palmeiras;20
1100338;110033825;Nova Marechal Rondon;25
1100346;110034605;Alvorada D'Oeste;05
1100346;110034625;Tancredópolis;25
1100346;110034630;Terra Boa;30
1100379;110037905;Alto Alegre dos Parecis;05
1100403;110040305;Alto Paraíso;05
