id;nome;ativo
1;UNIVERSIDADE FEDERAL DE MATO GROSSO;1
2;UNIVERSIDADE DE BRASILIA;1
3;UNIVERSIDADE FEDERAL DE SERGIPE;1
4;UNIVERSIDADE FEDERAL DO AMAZONAS;1
5;UNIVERSIDADE FEDERAL DO PIAUI;1
6;UNIVERSIDADE FEDERAL DE OURO PRETO;1
7;UNIVERSIDADE FEDERAL DE SAO CARLOS;1
8;UNIVERSIDADE FEDERAL DE VICOSA;1
9;UNIVERSIDADE ESTADUAL DE LONDRINA;1
10;PONTIFICIA UNIVERSIDADE CATOLICA DO PARANA;1
11;UNIVERSIDADE CATOLICA DE PERNAMBUCO;1
12;UNIVERSIDADE FEDERAL DO RIO GRANDE;1
13;UNIVERSIDADE DE CAXIAS DO SUL;1
14;UNIVERSIDADE DO VALE DO RIO DOS SINOS;1
15;UNIVERSIDADE CATOLICA DE PETROPOLIS;1
16;UNIVERSIDADE GAMA FILHO;0
17;UNIVERSIDADE FEDERAL DE UBERLANDIA;1
18;UNIVERSIDADE CATOLICA DE PELOTAS;1
19;PONTIFICIA UNIVERSIDADE CATOLICA DE CAMPINAS;1
20;UNIVERSIDADE DE PASSO FUNDO;1
21;PONTIFICIA UNIVERSIDADE CATOLICA DO RIO GRANDE DO SUL;1
22;UNIVERSIDADE PRESBITERIANA MACKENZIE;1
23;UNIVERSIDADE FEEVALE;1
24;UNIVERSIDADE ESTADUAL DE SANTA CRUZ;1
26;ESCOLA NACIONAL DE CIENCIAS ESTATISTICAS;1
27;CENTRO UNIVERSITARIO UNINCOR;1
29;UNIVERSIDADE ESTADUAL DO CEARA;1
30;UNIVERSIDADE PROFESSOR EDSON ANTONIO VELANO;1
31;CENTRO DE EDUCACAO TECNICA DA UTRAMIG;1
32;UNIVERSIDADE ESTADUAL DE CIENCIAS DA SAUDE DE ALAGOAS UNCISAL;1
33;FACULDADE DE TECNOLOGIA DE SOROCABA;1
34;FACULDADE DE TECNOLOGIA DE SAO PAULO;1
